site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,vote_p
雲林縣崙背鄉,0.7076,0.452,0.197,0.1368,0.5317,0.0638,0.7004,0.1313,0.2929,44.4263,44.7279,0.7425,0.3543
雲林縣麥寮鄉,0.7791,0.5323,0.23,0.165,0.5198,0.0805,0.6721,0.1706,0.3803,37.8229,37,0.0623,0.3107
雲林縣水林鄉,0.6674,0.4109,0.1701,0.118,0.5245,0.069,0.7134,0.1172,0.2581,47.2714,48.2857,0.9512,0.6302
雲林縣四湖鄉,0.6782,0.4178,0.1658,0.1135,0.5199,0.0814,0.7222,0.1133,0.2624,47.0553,47.804,0.9404,0.6322
雲林縣臺西鄉,0.6762,0.4196,0.1793,0.1291,0.5304,0.0785,0.719,0.129,0.2979,45.0664,45.5586,0.8076,0.5232
雲林縣土庫鎮,0.7379,0.5174,0.2298,0.1628,0.5291,0.0658,0.6915,0.1424,0.3132,43.0228,42.2415,0.6098,0.5905
雲林縣西螺鎮,0.7699,0.5438,0.2472,0.1791,0.5178,0.0654,0.6737,0.1537,0.3209,41.5182,41,0.4038,0.3448
雲林縣元長鄉,0.6775,0.4379,0.1773,0.1205,0.5412,0.0687,0.7232,0.1206,0.2672,46.7781,48,0.9268,0.5348
彰化縣北斗鎮,0.8157,0.6086,0.2922,0.2102,0.5237,0.0607,0.6602,0.1667,0.3489,40.5023,39.5115,0.3117,0.496
彰化縣埔心鄉,0.7928,0.5835,0.2691,0.1937,0.5216,0.0638,0.6621,0.172,0.363,40.9651,40,0.3415,0.4412
彰化縣埔鹽鄉,0.7817,0.597,0.293,0.1858,0.5437,0.0501,0.6764,0.1664,0.345,42.32,41,0.5068,0.4039
彰化縣大城鄉,0.6905,0.3763,0.134,0.0886,0.5551,0.0679,0.7354,0.1117,0.2587,46.463,46.35,0.9051,0.558
彰化縣大村鄉,0.8005,0.5951,0.2759,0.1978,0.5265,0.0594,0.6603,0.1786,0.37,40.5996,39.5842,0.3252,0.3571
彰化縣二林鎮,0.7604,0.5296,0.2303,0.1596,0.5281,0.0627,0.6811,0.1522,0.3204,42.5476,42,0.542,0.4146
彰化縣二水鄉,0.7603,0.585,0.2526,0.168,0.517,0.0675,0.6888,0.137,0.2931,45.7917,46.3382,0.8699,0.385
彰化縣芳苑鄉,0.7033,0.4458,0.1669,0.1132,0.537,0.0697,0.7077,0.1424,0.3027,44.6855,44.3386,0.7724,0.6672
彰化縣芬園鄉,0.7726,0.5412,0.2422,0.1653,0.5246,0.0636,0.6785,0.1629,0.3322,42.9651,42.2467,0.5989,0.5922
彰化縣福興鄉,0.7675,0.5403,0.256,0.1875,0.5332,0.051,0.6571,0.1781,0.369,40.4807,39,0.3089,0.4345
彰化縣和美鎮,0.819,0.6141,0.3137,0.2224,0.5329,0.0561,0.6507,0.1737,0.3778,39.3361,38.1472,0.187,0.3215
彰化縣花壇鄉,0.8044,0.5997,0.2988,0.2131,0.5214,0.0614,0.6492,0.1747,0.3682,40.4435,39.3824,0.2981,0.5954
彰化縣鹿港鎮,0.7851,0.5726,0.2837,0.2051,0.5358,0.0545,0.6559,0.1688,0.3672,39.188,38,0.168,0.3153
彰化縣埤頭鄉,0.7621,0.5419,0.242,0.1723,0.5356,0.0611,0.69,0.1581,0.338,41.9069,40.9029,0.4661,0.5987
彰化縣社頭鄉,0.803,0.6066,0.2802,0.2001,0.5303,0.0566,0.6615,0.1721,0.3517,41.0699,40,0.355,0.3398
彰化縣伸港鄉,0.8137,0.5536,0.2555,0.1853,0.5328,0.0594,0.6606,0.1737,0.3826,38.8262,37.558,0.1463,0.5964
彰化縣田尾鄉,0.7849,0.5706,0.2548,0.1812,0.5237,0.0557,0.6629,0.169,0.3358,41.6094,41,0.4146,0.3027
彰化縣田中鎮,0.8107,0.624,0.2941,0.2078,0.5138,0.0672,0.6602,0.1616,0.3333,42.3695,41.6825,0.5149,0.4379
彰化縣溪湖鎮,0.8097,0.6076,0.297,0.2129,0.5235,0.0567,0.6537,0.1783,0.3696,39.254,38,0.1762,0.5584
彰化縣溪州鄉,0.7635,0.5061,0.2154,0.1499,0.5286,0.0622,0.6879,0.1444,0.3143,43.1484,42.5978,0.6314,0.6566
彰化縣線西鄉,0.7963,0.5418,0.2572,0.1852,0.5359,0.0525,0.6608,0.1701,0.363,40.059,39,0.2737,0.5166
彰化縣秀水鄉,0.8434,0.6086,0.2985,0.2145,0.5411,0.0491,0.6556,0.1795,0.3691,39.3959,38.0721,0.2005,0.3988
彰化縣永靖鄉,0.7834,0.5856,0.2745,0.1963,0.5239,0.053,0.6587,0.1658,0.3496,41.1176,40,0.3577,0.315
彰化縣員林市,0.8436,0.6808,0.3652,0.2647,0.5178,0.0646,0.6491,0.1685,0.3573,39.6985,39,0.2304,0.4698
彰化縣彰化市,0.8603,0.6877,0.3879,0.2759,0.5214,0.0653,0.6499,0.1656,0.3509,39.9272,39,0.2602,0.6189
彰化縣竹塘鄉,0.7174,0.4761,0.1936,0.131,0.542,0.0615,0.71,0.1332,0.2865,44.4725,44.3878,0.748,0.3103
